    2024-04-20 18:02:32 info: Dice Result :  60305558133332388960592878786169648744804214461902077253639494906267168233171
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354757, Random number (moduloed) : 13404, Random number : 60305558133332388960592878786169648744804214461902077253639494906267168233171
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354756, Random number (moduloed) : 27803, Random number : 111684040594338421351054208764654102978307719022543484673200556223144728762715
    2024-04-20 18:02:32 info:  Winner: NCConnois, Total number of tickets : 354755, Random number (moduloed) : 141140, Random number : 10370432863472414009080330673508500646738147332096915120562364583127121500715
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354754, Random number (moduloed) : 11921, Random number : 28761374840157462486136015349169170958714536449730165586428194167265499114099
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354753, Random number (moduloed) : 35957, Random number : 7396706987808620250621442109316629558242636089863345861750701617918672997136
    2024-04-20 18:02:32 info:  Winner: Secretsmo0, Total number of tickets : 354752, Random number (moduloed) : 297009, Random number : 29926414324112278811287700186868802308941874387298602949413211181109756641201
    2024-04-20 18:02:32 info:  Winner: TranspareKing, Total number of tickets : 354751, Random number (moduloed) : 202532, Random number : 25906236669700874311765991336971959128198444348962723722175896403586389227115
    2024-04-20 18:02:32 info:  Winner: Flowslikeosmo, Total number of tickets : 354750, Random number (moduloed) : 46945, Random number : 5535363209959182636953442486747331915124305397279492749959349014137277868945
    2024-04-20 18:02:32 info:  Winner: DinoRoars007, Total number of tickets : 354749, Random number (moduloed) : 236965, Random number : 92127958337646586003109857613306919724019653154084390373428199035579713994794
    2024-04-20 18:02:32 info:  Winner: Castillo_Juan_, Total number of tickets : 354748, Random number (moduloed) : 90194, Random number : 56286323902603766274459005031441860057180469847575851334263148723221066376954
    2024-04-20 18:02:32 info:  Winner: OKcashOrator, Total number of tickets : 354747, Random number (moduloed) : 274390, Random number : 74056403900389810804719982489251289928889432968871246075181230836044786171444
    2024-04-20 18:02:32 info:  Winner: Melmzy, Total number of tickets : 354746, Random number (moduloed) : 245616, Random number : 81013575311687872717792858332393913234965275587978518917327322811616273233158
    2024-04-20 18:02:32 info:  Winner: CryptoJoeTFM, Total number of tickets : 354745, Random number (moduloed) : 207385, Random number : 85342791299540300968137733006883019671275103842718028371356616007203956574780
    2024-04-20 18:02:32 info:  Winner: Tom22265373, Total number of tickets : 354744, Random number (moduloed) : 242032, Random number : 55072039545457286228712767644366992416160897808993635903133885165129462823536
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354743, Random number (moduloed) : 8404, Random number : 19971700796167876740240682445369485787604276502146456604150590658683689245636
    2024-04-20 18:02:32 info:  Winner: ChilllWenDead, Total number of tickets : 354742, Random number (moduloed) : 188297, Random number : 99895297543727520907422215251169385060795981683596314210980883562545825199843
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354741, Random number (moduloed) : 7067, Random number : 90414009155746087812910722138875954412041877786628531440615748545331003812158
    2024-04-20 18:02:32 info:  Winner: TFOACount, Total number of tickets : 354740, Random number (moduloed) : 61232, Random number : 91651031676906098508736876292260589122196552122994062216918269878660156404912
    2024-04-20 18:02:32 info:  Winner: Kyrzel1, Total number of tickets : 354739, Random number (moduloed) : 205546, Random number : 91528081510927116258437133134175345913856020905647954366121512634729069079202
    2024-04-20 18:02:32 info:  Winner: RussellKlein, Total number of tickets : 354738, Random number (moduloed) : 133859, Random number : 85442643564989818870446793056184286881088610842052404224872879504686313091679
    2024-04-20 18:02:32 info:  Winner: eyeamfin, Total number of tickets : 354737, Random number (moduloed) : 240189, Random number : 33795354972940056673491661486548286911520684566950532197577130566292725586020
    2024-04-20 18:02:32 info:  Winner: 0xnacci, Total number of tickets : 354736, Random number (moduloed) : 336179, Random number : 41271916053607350236653252328944195479777038986263642518139437790704451439731
    2024-04-20 18:02:32 info:  Winner: 0xAccess, Total number of tickets : 354735, Random number (moduloed) : 232096, Random number : 56079555613612427751082790954633144928299729567839603322086690654975534222441
    2024-04-20 18:02:32 info:  Winner: BSturisky, Total number of tickets : 354734, Random number (moduloed) : 33925, Random number : 87010016595212952116585620900856182846401171022952684879316965612594090817665
    2024-04-20 18:02:32 info:  Winner: Legogio7, Total number of tickets : 354733, Random number (moduloed) : 315701, Random number : 1269974748620047461281443535424090023295784509408749565632032150538776543017
    2024-04-20 18:02:32 info:  Winner: Den74509374, Total number of tickets : 354732, Random number (moduloed) : 72541, Random number : 100552567385639571191291930312128053262842491085927750572362859684629762435969
    2024-04-20 18:02:32 info:  Winner: boughtstocks, Total number of tickets : 354731, Random number (moduloed) : 57528, Random number : 15712754253880057454151096851963768862656638846239810370683141818899792531748
    2024-04-20 18:02:32 info:  Winner: Sunbob625, Total number of tickets : 354730, Random number (moduloed) : 209734, Random number : 90483829224980494743454621218099732250109921286172268887236979260353075759724
    2024-04-20 18:02:32 info:  Winner: Kelso_MKK, Total number of tickets : 354729, Random number (moduloed) : 3641, Random number : 35624462731570911096855493672867836513958586859545802372093364994341509206306
    2024-04-20 18:02:32 info:  Winner: Alisa42069, Total number of tickets : 354728, Random number (moduloed) : 343804, Random number : 13313519039938336491381814744143071805404412188055594395057160732566310124484
